,Position,Company,City,State.Name,Job.Description,Employment.Type,Education.Required
77539,Motivated Associate Treasury Analyst Needed Today!,Accountemps,Dallas,Texas,"Ref ID:04890-000829Classification:TreasurerCompensation:$19.79 to $21.00 per hourA Large Organization in the Dallas area is looking for 3 motivated Associate Treasury Analysts to join their organization as soon as possible! This position supports all aspects of Treasury operations and cash management activities, including assisting with cash management banking solutions for all business segments of the organization and supporting the cash reporting and analysis process. In addition to ensuring compliance with corporate policies and procedures for all cash desk operations, the Associate Treasury Analyst is responsible for assisting in management of banking activities for the company and ensuring sufficient cash is in place to support the company's financial obligations. This role reports directly to the Supervisor, Treasury. Essential Duties and Responsibilities: -Assist in cash management activities, including daily cash posting and cash reporting -Obtain data on banking activity, generate and review monthly bank statements and disburse checks/electronic payments -Assist in the management of banking activities for the company and ensure enough liquidity is in place to cover the company's financial obligations. -Provide cross-functional support to internal and external customers by acting as a first level contact for all Treasury related inquires -Assist in the annual and quarterly audit process by providing feedback and coordination with other member of the Treasury team -Identify, analyze and implement process improvements, including resolving complex Treasury issues and recommending new products into the current daily process -Provide timely research and analysis of inquires pertaining to cash disbursement, receipts and postings -Assist Supervisor, Treasury with the monitoring of existing letters of credit and the preparation and execution of new of letters of credit",Seasonal/Temp,Not Specified
71185,***Bilingual Ambitious Spanish/English Customer Service/Educ,OfficeTeam,Sandy,Utah,"Ref ID: 04820-9742617Classification: Account Executive/Staffing ManagerCompensation: $10.00 to $12.00 per hour***Bilingual Ambitious Spanish/English Customer Service/Education Reps** Looking for bilingual Customer Service Representatives with GREAT COMMUNICATION and MULTI-TASKING skills!!! You would be following up with clients via phone and email. If you have passion for customer satisfaction and are interested in rewarding work in an AMAZING atmosphere with benefits, OfficeTeam is interviewing NOW!",Seasonal/Temp,Not Specified
2051,Sales Auditor,Accountemps,Secaucus,New Jersey,"Ref ID:02680-110039Classification:Data Entry ClerkCompensation:$18.00 to $20.00 per hourSales Auditor is needed immediately for a retail company in Hudson County. Sales Auditor must have at least 2 years of experience out of retail in a related position. Responsibilities will include entering sales receipts into the system, balancing credit cards, making sure transactions balance, allocating sales tax properly, monitoring bank activity and other ad hoc projects. Sales Auditor must be a strong user in Microsoft Excel. Please submit resumes immediately to [Click Here to Email Your Resumé] or call 201-239-5801",Seasonal/Temp,Not Specified
40874,Dietary Assistant with dishwashing duties,The Evangelical Lutheran Good Samaritan Society,Westbrook,Minnesota,"

Dietary Assistant with dishwashing duties
As a Dietary Assistant with dishwashing duties you will be responsible for serving nutritious, appealing and appetizing meals in an attractive environment.

Additional responsibilities of the Dietary Assistant with dishwashing duties include:
� Assisting with preparing menu items, snacks, and supplements following physician's orders, standards and regulations.
� Cleaning duties assigned in the dining area and in the kitchen/work area.
� Observing and documenting nutritional care as assigned. 
� Operating dishwashing and kitchen equipment. 
� Following infection control procedures and OSHA and CDC guidelines that apply to bloodborne pathogens while serving food, assisting residents and cleaning.
� Washing, drying and restocking dishes, and pots and pans.
",Per Diem,Not Specified
61528,Computer Programming & Development Instructor,Vatterott Educational Centers,Kansas City,Missouri,"The Computer Programming and Development Instructor is responsible for delivering educational material to students enrolled in the Computer Programming and Development Program.  Responsibilities include: 

    Teaches college-level courses.  


    Prepares standardized course syllabus, outline and daily lesson plans and submits them to the Program Director no later than two weeks prior to the end of the term.  


    Ensures each course syllabus contains a student project requiring the use of online library resources or the campus Learning Resource Center.  


    Provides and reviews the course syllabus and outline with students on the first day of class.  Maintains and ensures consistency between the course objectives and the daily lesson plans. Provides and discusses syllabus modifications with students throughout the term.  


    Update and maintain current and accurate course information, including the course syllabus, for the faculty resource center. 


    Continuous maintenance of the e-companion course shell including grades, course assignments, activities, and other relevant course content. Maintains accurate records of attendance, grades, progress of students, and reports the same in a timely manner to manager.  


    Prepares and administers examinations, student projects, and other teaching aids needed to fulfill objectives of program.  Sets up classroom, lab equipment, projects, assignments, etc in preparation for each new phase or class start.  


    Maintains clean, effective, and professional learning environment.  


    Attends all scheduled in-service activities, program advisory meetings, monthly program faculty meetings, campus staff and faculty meetings.  


    Submits an annual professional development plan to the Campus Director and/or Director of Education by December 1 for the next calendar year. 


    Completes all scheduled/assigned activities in support of the current year individual faculty development plan.  Submits documentation of completed professional development activities to the Campus Director and/or Director of Education before December 1 each calendar year.  


    Communicates program supply, equipment and staffing needs to the Program Director or Director of Education prior to the beginning of each term or as needed.  


    Serve as an Academic Advisor to an assigned list of students throughout their academic career at Vatterott.  Minimum of one appointment per term must be scheduled for each student.   


    Documented tutoring and advising of academically struggling students (below 70%) in your course must be completed on a weekly basis.  May include directing students to non-academic campus resources (retention, financial aid, registrar, etc.).  


    Ensures classroom management and enforcement of school regulations and student code of conduct.  


    Participates in graduation ceremonies and other school events as required.  


    Completes administrative duties and other projects as assigned.  


    Consents to faculty classroom observations to be conducted in person and/or by electronic recording each term.   


    Serve as a new faculty mentor as assigned. 
",Part-Time,Associate Degree
54629,Field Support Opportunities,United States Army,Vienna,West Virginia,"The Army Reserve is designed for those who want to get the most out of the Army while pursuing their civilian careers and goals. Many professionals as well as college students are Soldiers in the Army Reserve. Here, you can take advantage of a long list of job and leadership training opportunities that give you the skills and strength to succeed wherever you go.

Field Support

Field Support roles provide support to U.S. Army personnel. These roles provide support behind-the-scenes and provide intelligence on the field. 

Opportunities are available in areas such as:

    Food services
    Watercraft operators
    Intelligence analysts
    Translators
    Interpreters
    Topography specialists 

The training and skills you receive in the Army can prepare you for a future with federal agencies, research or business planning, civilian factories, repair shops, department stores and government warehouses, stockrooms, and dining facilities.
&nbsp;
In the Army Reserve, you'll have the time and freedom to put your educational benefits to good use. If you want to go to college, the Army Reserve will help pay for it. If you've already attended college, the Army Reserve will help pay off your loans.
&nbsp;
In the Army Reserve you could be eligible for: 

    Enlistment bonuses totaling up to $20,000
    Up to $24,012 for college
    Up to $20,000 to repay qualifying student loans
    Up to $4,500 a year tuition assistance while serving 
",Part-Time,High School Diploma
37231,At Home Advisor - AppleCare Chat Team,Apple,Memphis,Tennessee,"Changing the world is all in a day's work at Apple. If you love innovation, here's your chance to make a career of it. You'll work hard. But the job comes with more than a few perks. You’re a problem-solver and amazing with customers! You’re enamored by the way things operate, and have the ability to figure out how technology works when things go wrong. You can multitask across systems and applications, analyze and resolve a variety of complex technical issues, and comfortably navigate a technical environment. You have excellent verbal and written communication skills, as well as the ability to effectively prioritize and manage your time. You’re not only here to help fix technical issues, but also provide an incredible customer experience. Because you’ll work independently from home, you’ll need the discipline and ability to work remotely from coworkers and management. If this sounds like you, you could be the next At Home Advisor for our Chat teams.This is a work from home position and we can consider candidates from cities across the US - you do not need to live in the city this is posted in to be considered.Key Qualifications:•Minimum 2 years professional troubleshooting expertise or proven technical ability •Experience interacting with customers in some capacity (either via phone, chat, in person, etc.)•A passion for service focused on the customer•Flexible to different communication styles and modifies approach according to the needs of others•iOS, Smartphone, Tablets, PC or Mac experience•Ability to manage multiple applications running at the same time•Enjoys troubleshooting technology•Discipline to work remotely from home while following a set schedule•Availability to attend approximately five to six weeks of required online training on a fixed schedule that may include weekends•Flexibility to work between the hours of 7:00 a.m. CST and 10:30 p.m CST including weekends and holidays, with the possibility to flex up or down hours depending upon business needs •Successful completion of a pre-employment assessment and criminal background check•Successful completion of initial training•Ability to meet minimum typing speed of 40 WPM while talking with customers•At Home Qualifications•A quiet workspace, ergonomic chair, and desk•High-speed Internet service (5 megabits download and 1 megabit upload) from a reliable providerDescription:As an Apple At Home Chat Advisor, you’ll be supporting many of our popular products, from iPhones to iPads to MacBooks to desktop Macs. As our customers’ first point of contact, you’ll be the friendly voice of Apple, providing world class customer service, troubleshooting, and technical support. We’ll rely on you to listen to our customers and use your technical expertise, creativity, and passion to meet their needs — and remind them that behind our great products are amazing people. This position comes with competitive pay, great benefits, eligibility to participate in our company stock plan, time off, an employee discount, and dedicated resources to support your ongoing growth and career development.    Additional Information To learn more about opportunities at Apple, visit http://www.apple.com/jobs/us/aha.html  Apple is an Equal Employment Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities.",Part-Time,Not Specified
25161,Permanent Field Inventory Representative,CCC Information Services Inc,Englewood,Colorado,"Permanent, part-time position with flexible daytime hours
No experience necessary
 
If you enjoy cars, working outdoors, a flexible schedule, and meeting new people, please consider joining our team as a part-time Field Inventory Representative. We will be conducting interviews and providing training in the Denver, CO . area the week of March 30th, 2015. You must be available for training during daytime hours. 
There is no experience necessary and we provide paid training. We will assign you pre-determined car dealership in your area for you to inventory specific pre-owned vehicles available for sale. You will capture the vehicle’s VIN number, options, price, and mileage.

You are paid for each vehicle documented and receive mileage reimbursement. Your hours are during the daytime and the schedule is flexible. 
Job requirements:
·    Great attention to detail
·    Ability to stand on pavement for extended periods of time
·    Ability to bend and stoop over cars 
·    Willing to work outside in any weather and during all seasons

    Access to reliable transportation 
    Proof of valid auto insurance and driver’s license 


If you are looking for a flexible part-time job, have attention to detail, enjoy working outside and can meet deadlines—we encourage you to apply today at www.cccis.com",Part-Time,High School Diploma
28159,Sales Associate,Carson's,Chicago Ridge,Illinois,"



Enjoy making a great first impression? Our Sales Associates are the first people our customers interact with—that first impression is everything!Join our team of retail experts who share their knowledge of the latest retail trends, assist customers with selections, merchandise new product as it arrives, and promote our store credit card. Our Sales Associates ensure that our customers are served as quickly and efficiently as possible. We’ll value your:Ability to make a great, positive, long lasting first impressionExcellent interpersonal skills with both customers and associatesStrong customer service and selling techniquesEffectively handle multiple customers while maintaining poise and upholding our customer service standards.Prior experience with Point of Sales (POS), preferredSchedules include a variety of day, evening and weekend hours.At Bon-Ton, we want to give back to our associates. We offer competitive pay, great associate discount, 401k plan (once eligible) – including potential company match and great volunteer opportunities. 



",Part-Time,Not Specified
17847,Homecare Certified Nursing Assistant/ CNA / HHA,Interim Healthcare - Hartford,Farmington,Connecticut,"&nbsp;We are growing and hiring for our great team!
 
 
 
Immediate needs for Homecare CNA/HHAs!
&nbsp;Part time positions (all shifts available)
 
    Per diem positions
    
    &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;We offer:
     
        Dedicated Schedulers to work with you
         
            Competitive rates based on experience
            &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Refer a CNA/HHA and receive $$$$!!!&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
            &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 
            &nbsp;
            &nbsp;",Part-Time,Not Specified
56028,Service Center Representative,Teachers Credit Union,Crawfordsville,Indiana,"Essential Function 
Service Rep performs financial transactions efficiently, accurately, and in a professional manner while providing quality member service focused on building relationships and expanding TCU&rsquo;s wallet share.
&nbsp;
Primary Responsibilities &amp; Duties 

    Proficiently performs the responsibilities and duties of a Teller. (See Teller Job Description)
    Responsible for discovering problems, needs, and opportunities by listening for clues in conversations, asking open-ended questions, completing fact-finding follow-ups, researching members&rsquo; accounts, making outbound and follow-up calls, and assisting with product promotions.
    Responsible for following established guidelines and procedures while processing new accounts and opening new memberships.
    Responsible for complex problem solving through research, using open-ended questions, and consistent follow up to ensure member satisfaction.
    Participate in continuing education as assigned.
    Assumes other miscellaneous responsibilities as assigned for the efficient operation of the service center.
    Assumes additional responsibilities as necessary for the continued growth and advancement of the Credit Union.

&nbsp;
Specific Skills 

    Excellent human relations skills including verbal and written communication skills.
    Proficient cash handling skills.
    Strong analytical and decision making skills to be able to be able to problem solve, empathize, and find workable solutions which mutually benefit TCU and its membership.
    High level of TCU product knowledge with a full understanding of needs based selling.
    Able to handle, verify, and reconcile large volumes of currency.
    Able to work in a fast-pace / diverse environment.
    Self-driven.
    Able to meet and exceed goals.
    General understanding of related computer applications

&nbsp;
&nbsp;
Accountability 

    Responsible for using product knowledge to cross-sell and clearly communicate product features to staff and members.
    Must have a full understanding of needs based selling, practice and use of Discovery Selling techniques in accordance with TCU&rsquo;s Sales Process.
    Responsible for daily decisions made within established guidelines set by the supervisor/manager, meeting pay-for-performance goals and displaying a positive image of the Credit Union.
    Accountable for understanding and applying TCU policies and procedures relating to the Bank Secrecy Act (BSA/AML, CIP and OFAC).
    Responsible for using all identified security precautions with regard to cash, checks and account management.
    Accountable for Performance Management Goals as agreed upon with Supervisor.



FLSA
Non-Exempt",Part-Time,High School Diploma
15793,Courier (Part-Time),DHL,Seattle,Washington,"What makes DHL great? Our People! Enjoy the flexibility, innovation and fun we encourage and promote in our work environment. Our corporate culture is about personal commitment &ndash; to our business, to each other and to our communities. DHL is dedicated to being a great place to work. In addition to competitive salaries, our employees enjoy a range of programs, services and benefits that bring the best to their personal lives.&nbsp;Start YOUR career with DHL today&hellip;
&nbsp;
DHL currently has an opportunity available for a Part-Time Courier&nbsp;at the&nbsp;Seattle, WA Service Station location. The Courier will be responsible for following standard company procedures and safety requirements while&nbsp;picking up and delivering time sensitive materials in a timely and efficient manner.
&nbsp;
Key Responsibilities:

Under tight deadlines, drives vehicle to customer sites, climbs in and out of vehicle, and walks up and down stairs as required to pick up and deliver documents and packages to and from customers according to established procedures, in all weather conditions 
Picks up, handles and delivers time sensitive documents and packages in a safe and punctual manner considering traffic patterns, alternative routes, traffic regulations, and driving conditions in order to meet customer and DHL time requirements 
Ensures all delivery material received is safely delivered to correct consignee 
Operates a scanner to record shipping and package information for all documents/packages picked up or delivered 
Reports any suspected breach of security or unusual happenings to supervisor immediately 
Maintains good work habits, including reporting to work on time and adhering to standard work and safety procedures 
May assist supervisor in orienting, training, assigning and checking the work of lower level courier guards 
May assist in training new courier guards and performing check rides with them to review performance and the proper use of routes and practices.
&nbsp;",Part-Time,High School Diploma
35434,**STAFF ACCOUNTANT for Stable Logistics Company**,Accountemps,Torrance,California,"Ref ID:00460-116099Classification:Accountant - StaffCompensation:$19.95 to $23.10 per hourA Stable and Growing Logistics company in the South Bay Area is looking for a Staff Accountant to join their Team. The Staff Accountant will be responsible for different responsibilities including running month end close reports, GAAP standards, and general accounting. Job Duties required: Accounts Receivable posting Accounts Payable posting General Ledger Reconciliation Bank Reconciliation Month End Reports Experience with accounting software Microsoft NAV is a plus Experience publicly traded companies is a plus",Seasonal/Temp,Not Specified
74090,SALES/CUSTOMER SERVICE SPECIALIST,Weed Man,Cincinnati,Ohio,"

NOW HIRING! Come and be part of our winning team!!! Join the success of one of the largest franchises in the Green Industry with over 40 years longevity. We are currently looking for our next SUPERSTAR to grow with us. If you’re employed, unemployed, retired or just looking for some supplemental income we WANT to talk to you! We offer full and part time hours with flexible scheduling, a generous pay structure consisting of an hourly rate plus commission, plus absolutely NO cold calling!!!! Don’t let this opportunity pass you by, positions are limited. Call, email or stop in today




 
 As an associate Weed Man of you will enjoy:


    Ability to work independently as part of a team 


    Competitive Hourly and Commission Structure
    Industry and Company Training
    Advancement Opportunities 
    New Leads Daily	



Compensation:


Expected wages should be between $16-$22/hr minimum 

",Full-Time/Part-Time,Not Specified
525,"Home Health Aides (HHAs) in Fruitland Park, Florida",BAYADA HOME HEALTH CARE,Fruitland Park,Florida,"BAYADA Home Health Care has an immediate need for a home health aide (HHA) or certified nursing assistant (CNA) to care for our clients. If you enjoy working one-on-one with homebound clients and would you like to give compassionate care to one client in the comfort of their own home, BAYADA needs your help! BAYADA is one of the nation’s leading home care companies. Our goal is to provide the highest quality home health care services and we are seeking the best CNAs and HHAs to help us achieve this goal. BAYADA offers a great benefits package including: employee recognition awards, training, scholarships, competitive weekly pay, and benefits available for full-time and part-time employees. To qualify for this position, you must have at least one year of experience in the health care field and be certified as a home health aide or nursing assistant.

If you are interested in this exciting opportunity, please call today.

To learn more about this opportunity, please contact Mary Witherington at 352-796-2200 or [Click Here to Email Your Resumé].Founded in 1975 by J. Mark Baiada, BAYADA Home Health Care provides nursing, rehabilitative, therapeutic, hospice, and assistive care services to children, adults, and seniors in the comfort of their homes. Headquartered in suburban Philadelphia, BAYADA employs more than 18,000 nurses, home health aides, therapists, medical social workers, and other home health care professionals who serve their communities in 25 states from more than 250 offices. For more information, visit www.bayada.com. BAYADA Home Health Care, Inc. is an Equal Opportunity Employer and qualified applicants will not be discriminated against on the basis of race, color, religion, sex, national origin, disability, or veteran status. ",Full-Time/Part-Time,Not Specified
